atom,n,mean_pre,mean_post,mean_delta,bootstrap_CI_low,bootstrap_CI_high,cohen_dz,paired_t,paired_t_p,wilcoxon_pratt_p,signflip_perm_p,positive_subjects,negative_subjects,zero_subjects,BH_q_across_16_atoms
rtr,13,0.015308671585295005,0.016522617388169077,0.001213945802874067,-0.00046093289414928104,0.003055547386802856,0.35703645020861274,1.2873132284367996,0.22226049680483181,0.414306640625,0.23129500793360186,7,6,0,0.370072012693763
rtx,13,0.007781657558868995,0.007976312081990232,0.00019465452312123464,-0.0004882685002074728,0.0008468214923522154,0.15329931819451342,0.5527285522439864,0.5905970602389795,0.635498046875,0.590137922616868,7,6,0,0.590137922616868
rty,13,0.007588403076859207,0.008036069171250082,0.0004476660943908753,-0.0003664517336906973,0.0012722778979427768,0.28246431895191726,1.018439585470153,0.32856347906864836,0.414306640625,0.32356890028072743,8,5,0,0.39823864649935686
rts,13,0.5343579028667459,0.5753134698579657,0.0409555669912199,0.018436948308052925,0.06511144180630381,0.9013344049843949,3.2498074135110597,0.0069589148888945865,0.00341796875,0.004760161113145368,12,1,0,0.011438335861624033
xtr,13,0.007588403076859207,0.008036069171250082,0.0004476660943908753,-0.0003664517336906973,0.0012722778979427768,0.28246431895191726,1.018439585470153,0.32856347906864836,0.414306640625,0.32356890028072743,8,5,0,0.39823864649935686
xtx,13,0.5753806385490869,0.6169453461011126,0.04156470755202564,0.01724536050517479,0.0654910812549039,0.8874426646280679,3.1997200313508882,0.00763650548640823,0.010498046875,0.007689491028927133,10,3,0,0.013670206273648237
xty,13,-0.007588403076859207,-0.008036069171250082,-0.0004476660943908753,-0.0012722778979427768,0.0003664517336906965,-0.28246431895191726,-1.018439585470153,0.32856347906864836,0.414306640625,0.32356890028072743,5,8,0,0.39823864649935686
xts,13,-0.5277207477310475,-0.5681157319970821,-0.04039498426603464,-0.06422187130053518,-0.018074020238283358,-0.8986534466065225,-3.240141080612256,0.0070847837840961,0.004638671875,0.005004271939460515,2,11,0,0.011438335861624033
ytr,13,0.0077814799354161395,0.007976312081990232,0.00019483214657409003,-0.0004882596190348302,0.0008470693024014211,0.1534493017975508,0.5532693258152179,0.5902382371633701,0.635498046875,0.5896497009642377,7,6,0,0.590137922616868
ytx,13,-0.007781166124086271,-0.007976312081990232,-0.00019514595790395882,-0.0008473842653628226,0.00048791119503176526,-0.15371423545896798,-0.5542245577160535,0.589604682901814,0.635498046875,0.5889173684852923,6,7,0,0.590137922616868
yty,13,0.5708726244801678,0.6096261573224564,0.03875353284228839,0.015015013407595493,0.0643824125307164,0.8011480397850518,2.88858033668247,0.013611969659627758,0.006103515625,0.007445380202611986,11,2,0,0.013670206273648237
yts,13,-0.527757663685938,-0.5683167029151358,-0.040559039229197805,-0.0643088275923787,-0.018203749014770957,-0.9025716676247101,-3.2542684274019353,0.006901590256948298,0.004638671875,0.005004271939460515,2,11,0,0.011438335861624033
str,13,0.5342435368333639,0.5751841342178566,0.040940597384492725,0.018429561341821624,0.06511779280317088,0.901760007005381,3.2513419434206656,0.006939141916208954,0.00341796875,0.004027828634199927,12,1,0,0.011438335861624033
stx,13,-0.5276894183631119,-0.5681865490389899,-0.04049713067587811,-0.06427817710178191,-0.01817986217566505,-0.901727873418,-3.251226084123699,0.006940632822933248,0.00341796875,0.004760161113145368,1,12,0,0.011438335861624033
sty,13,-0.5277555016494578,-0.5681449157711241,-0.040389414121666335,-0.06416034079517491,-0.0181180785339407,-0.9008627495774988,-3.2481068357571434,0.00698089392309365,0.004638671875,0.004760161113145368,2,11,0,0.011438335861624033
sts,13,1.0838371330594216,1.1642909177913185,0.08045378473189703,0.036302386181069596,0.12786081608885494,0.9047694080287245,3.2621924931187647,0.006800938378492005,0.004638671875,0.005004271939460515,11,2,0,0.011438335861624033
