subject,rtr_pre,rtr_post,rtr_delta,str_pre,str_post,str_delta,balance_pre,balance_post,balance_delta
1,0.01940412392718,0.0154897818661457,-0.0039143420610342,0.5494981610422781,0.5584310747589256,0.0089329137166475,0.5300940371150981,0.5429412928927798,0.0128472557776817
2,0.0164477646047005,0.0235530378736515,0.007105273268951,0.5630766199403486,0.5397945233889819,-0.0232820965513666,0.5466288553356481,0.5162414855153304,-0.0303873698203176
3,0.0165828430438323,0.0174546407458087,0.0008717977019763,0.5497998718154871,0.5695618135429035,0.0197619417274162,0.5332170287716549,0.5521071727970948,0.0188901440254399
4,0.0182480227976184,0.020842409431814,0.0025943866341955,0.4971618265693444,0.5871096431474745,0.0899478165781299,0.478913803771726,0.5662672337156605,0.0873534299439344
5,0.0141562631301295,0.0140037756186224,-0.0001524875115071,0.5399668356319893,0.5508735760050962,0.0109067403731069,0.5258105725018598,0.5368698003864739,0.0110592278846141
6,0.0155141428684803,0.0147816037207978,-0.0007325391476825,0.5549775943536296,0.6080083926924008,0.0530307983387712,0.5394634514851493,0.5932267889716031,0.0537633374864538
7,0.013802720594253,0.0167789619367153,0.0029762413424623,0.4929941244318099,0.5351161181190466,0.0421219936872366,0.4791914038375569,0.5183371561823312,0.0391457523447743
8,0.0150956416384005,0.0135250556942856,-0.0015705859441148,0.4746402584311164,0.5729015156253527,0.0982612571942362,0.4595446167927159,0.559376459931067,0.0998318431383511
9,0.0114705955645309,0.0189935285087538,0.0075229329442228,0.561111413660642,0.6135844029463113,0.0524729892856694,0.549640818096111,0.5945908744375575,0.0449500563414465
10,0.0105729856191482,0.0140584863817181,0.0034855007625699,0.4655562368826993,0.6025549043175088,0.1369986674348094,0.4549832512635511,0.5884964179357907,0.1335131666722394
11,0.0159370912441926,0.0140126188971709,-0.0019244723470217,0.5502161315254407,0.5539587190089218,0.003742587483481,0.5342790402812481,0.5399461001117509,0.0056670598305028
12,0.0162935514324837,0.0157907289448106,-0.000502822487673,0.5780334799384649,0.5783197000161786,0.0002862200777137,0.5617399285059811,0.562528971071368,0.0007890425653868
13,0.0154869841438845,0.015509396425903,2.241228201857065e-05,0.5681334246104803,0.6071793612630338,0.0390459366525536,0.5526464404665957,0.5916699648371309,0.039023524370535
