metric_id,metric_label,threshold,n_abs_delta_le_threshold,n,proportion
rtr,Redundancy transfer,1e-12,0,13,0.0
rtr,Redundancy transfer,1e-08,0,13,0.0
rtr,Redundancy transfer,1e-06,0,13,0.0
rtr,Redundancy transfer,1e-05,0,13,0.0
rtr,Redundancy transfer,0.0001,1,13,0.07692307692307693
str,Synergistic transfer,1e-12,0,13,0.0
str,Synergistic transfer,1e-08,0,13,0.0
str,Synergistic transfer,1e-06,0,13,0.0
str,Synergistic transfer,1e-05,0,13,0.0
str,Synergistic transfer,0.0001,0,13,0.0
balance,Synergy-minus-redundancy balance,1e-12,0,13,0.0
balance,Synergy-minus-redundancy balance,1e-08,0,13,0.0
balance,Synergy-minus-redundancy balance,1e-06,0,13,0.0
balance,Synergy-minus-redundancy balance,1e-05,0,13,0.0
balance,Synergy-minus-redundancy balance,0.0001,0,13,0.0
