subject_index,subject,tau,mean_rtr_pre,mean_str_pre,mean_balance_pre,mean_rtr_post,mean_str_post,mean_balance_post,mean_rtr_delta,mean_str_delta,mean_balance_delta
1,1,2,0.008540375934378786,0.0996301550055005,0.09108977907112172,0.006222674729750827,0.10849458926795758,0.10227191453820675,-0.002317701204627959,0.008864434262457074,0.011182135467085033
2,2,2,0.007429383068572212,0.10665787864363385,0.09922849557506164,0.009625534546657618,0.10259002215785308,0.09296448761119547,0.0021961514780854067,-0.004067856485780771,-0.006264007963866169
3,3,2,0.007090567708310674,0.0894459280569565,0.08235536034864582,0.008297192065681025,0.11180087536185179,0.10350368329617077,0.001206624357370351,0.02235494730489529,0.021148322947524945
4,4,2,0.005004103504047981,0.06925475110464939,0.06425064760060141,0.00853635224412668,0.1019908628151415,0.09345451057101482,0.003532248740078699,0.03273611171049211,0.029203862970413413
5,5,2,0.005279786874713868,0.07769032476327863,0.07241053788856476,0.0052770580520007295,0.0822095077768539,0.07693244972485318,-2.7288227131385193e-06,0.004519183013575276,0.004521911836288417
6,6,2,0.006102695209312373,0.09830826049748896,0.09220556528817658,0.006537987397927568,0.11399375218388805,0.10745576478596047,0.00043529218861519496,0.015685491686399086,0.01525019949778389
7,7,2,0.005219047823213867,0.08717223543018382,0.08195318760696996,0.0065257697171040045,0.09615407614574747,0.08962830642864347,0.0013067218938901375,0.008981840715563655,0.0076751188216735156
8,8,2,0.005208990727930047,0.06714152755490801,0.06193253682697797,0.005401106065734878,0.09508796296915147,0.08968685690341659,0.00019211533780483063,0.02794643541424345,0.02775432007643862
9,9,2,0.005461220512661799,0.08896266145971463,0.08350144094705282,0.008421353414139394,0.1213033548032189,0.1128820013890795,0.0029601329014775956,0.03234069334350427,0.02938056044202668
10,10,2,0.004006323879105781,0.06581493868436973,0.06180861480526395,0.006035245031750609,0.11022078433163657,0.10418553929988596,0.0020289211526448277,0.04440584564726684,0.042376924494622006
11,11,2,0.00633876033459454,0.08282594905044065,0.0764871887158461,0.005437823579574428,0.08418917627375547,0.07875135269418104,-0.0009009367550201122,0.0013632272233148196,0.0022641639783349404
12,12,2,0.006140014068864677,0.10468462340110321,0.09854460933223853,0.006287344733506034,0.09918344156604103,0.092896096832535,0.0001473306646413569,-0.00550118183506218,-0.005648512499703537
13,13,2,0.00594355889229722,0.09858861176672995,0.09264505287443273,0.006337514656564485,0.11489163736573171,0.10855412270916723,0.0003939557642672646,0.016303025599001764,0.0159090698347345
1,1,3,0.0029822009552506862,0.006069357151070632,0.0030871561958199455,0.002253711041490567,0.0064148638425065765,0.00416115280101601,-0.0007284899137601194,0.0003455066914359447,0.0010739966051960645
2,2,3,0.0031680462483255753,0.00806377067551206,0.004895724427186486,0.003066679788476158,0.007286759032177275,0.004220079243701116,-0.0001013664598494171,-0.0007770116433347858,-0.0006756451834853692
3,3,3,0.0020156946368116843,0.004427608399012098,0.002411913762200414,0.0031747365831149227,0.008725814493098201,0.005551077909983279,0.0011590419463032384,0.004298206094086103,0.0031391641477828648
4,4,3,0.0009607944871193558,0.003263303338390306,0.0023025088512709504,0.0022855277596506643,0.005353606586212973,0.0030680788265623083,0.0013247332725313085,0.0020903032478226664,0.0007655699752913579
5,5,3,0.0012210074801625066,0.003415024885756775,0.002194017405594268,0.0014920708566981862,0.00420968245000215,0.002717611593303964,0.0002710633765356796,0.0007946575642453755,0.0005235941877096959
6,6,3,0.0017819015081773065,0.004607121785897775,0.002825220277720469,0.002150728612988923,0.005999938664009039,0.0038492100510201166,0.0003688271048116164,0.001392816878111264,0.0010239897732996477
7,7,3,0.001681135221105621,0.004472392083054656,0.0027912568619490354,0.001975812315478322,0.004913513522035122,0.0029377012065568003,0.00029467709437270076,0.00044112143898046574,0.00014644434460776498
8,8,3,0.0010087220809185352,0.003269180317775388,0.0022604582368568526,0.0016427969905463628,0.004711347308793894,0.0030685503182475314,0.0006340749096278276,0.0014421669910185063,0.0008080920813906788
9,9,3,0.002064153754717544,0.006386428739241756,0.004322274984524211,0.003287328209170642,0.008994775767840463,0.005707447558669821,0.001223174454453098,0.002608347028598707,0.00138517257414561
10,10,3,0.0012082741124315771,0.0034301468453376625,0.0022218727329060854,0.0019162749302766096,0.005307478185582795,0.0033912032553061852,0.0007080008178450324,0.0018773313402451323,0.0011693305224000998
11,11,3,0.0016264376009281387,0.0037079817738937576,0.0020815441729656187,0.001291603413029068,0.0032401881425765007,0.0019485847295474326,-0.00033483418789907065,-0.0004677936313172569,-0.00013295944341818605
12,12,3,0.0017896183118542917,0.00514058996092136,0.0033509716490670682,0.0017863807816310925,0.004454962143885172,0.0026685813622540793,-3.2375302231992323e-06,-0.0006856278170361881,-0.0006823902868129889
13,13,3,0.0017407014505052161,0.005156323410146174,0.0034156219596409576,0.0020784510552357056,0.005780101548702381,0.003701650493466675,0.00033774960473048946,0.0006237781385562066,0.0002860285338257174
